affair_8c489f,140;72;159
albescent_white_f6e7d2,246;231;210
anakiwa_99ccff,153;204;255
aquamarine_66ffff,102;255;255
astronaut_29407c,41;64;124
avocado_999967,153;153;103
azure_336699,51;102;153
azure_radiance_0099FF,0;153;255
bahama_blue_006699,0;102;153
bilbao_3e8914,62;137;20
bitter_lemon_d5d50d,213;213;13
blaze_orange_ff6600,255;102;0
blue_bell_9999cc,153;153;204
blue_stone_006666,0;102;102
bossanova_443266,68;50;102
breaker_bay_5f9ea0,95;158;160
brown_4d1a00,77;26;0
buccaneer_663333,102;51;51
buddha_gold_cc9900,204;153;0
burgundy_8c001a,140;0;26
buttered_rum_a36c29,163;108;41
camarone_005502,0;85;2
cardinal_pink_6f0564,111;5;100
casal_336666,51;102;102
chetwode_blue_6d72c3,109;114;195
citron_9da329,157;163;41
comet_545568,84;85;104
costa_del_sol_666633,102;102;51
cream_ffffcc,255;255;204
curious_blue_3399cc,51;153;204
cyprus_004040,0;64;64
daisy_bush_5941a9,89;65;169
danube_6699cc,102;153;204
de_york_99cc99,153;204;153
deep_sea_green_0a4958,10;73;88
deep_sky_blue_00bfff,0;191;255
deep_teal_003333,0;51;51
dixie_cc8733,204;135;51
dodger_blue_3399ff,51;153;255
dolly_ffff81,255;255;129
dove_gray_666666,102;102;102
dusty_gray_999999,153;153;153
elm_217c7e,33;124;126
endeavour_235789,35;87;137
falcon_685455,104;84;85
feijoa_a5c882,165;200;130
finlandia_587058,88;112;88
fire_9c2a00,156;42;0
flush_orange_fe8402,254;132;2
free_speech_red_bf0a00,191;10;0
fuego_c4cc33,196;204;51
fun_green_009933,0;153;51
gold_f1d302,241;211;2
gold_sand_eab988,234;185;136
golden_fizz_ffff33,255;255;51
golden_tainal_ffcc66,255;204;102
gossip_96e072,150;224;114
granny_smith_apple_87e293,135;226;147
green_00ff00,0;255;0
green_haze_009966,0;153;102
green_leaf_3a5f0b,58;95;11
grenadier_c13100,193;49;0
grenadier_cc3300,204;51;0
guardsman_red_cc0000,204;0;0
harlequin_33ff33,51;255;51
highland_669966,102;153;102
jet_stream_c1dad6,193;218;214
kimberly_666699,102;102;153
kokoda_6a6a5a,106;106;90
la_rioja_b6bf00,182;191;0
laser_lemon_ffff66,255;255;102
lemon_chiffon_fffbd0,255;251;208
light_blue_669999,102;153;153
limeade_669900,102;153;0
limeade_60a329,96;163;41
lonestar_660000,102;0;0
madang_afeaaa,175;234;170
mahogany_c1292e,193;41;46
malibu_66ccff,102;204;255
malibu_8b88ff,139;136;255
mariner_3366CC,51;102;204
mexican_red_b222222,178;34;34
midnight_blue_003366,0;51;102
midnight_blue_000066,0;0;102
mineral_green_3f5f5f,63;95;95
muesli_a97d5d,169;125;93
mulled_wine_514f59,81;79;89
nandor_556854,85;104;84
navy_blue_000084,0;0;132
neon_carrot_ff9933,255;153;51
nomad_b7afa3,183;175;163
nutmeg_wood_finish_663300,102;51;0
onahau_ccffff,204;255;255
orange_e64d00,230;77;0
orange_peel_ff9900,255;153;0
orange_peel_ff9c00,123;179;26
oregon_993300,153;51;0
pacific_blue_0099cc,0;153;204
pale_canary_ffff99,255;255;153
paprika_990033,153;0;51
peach_orange_ffcc99,255;204;153
periwinkle_ccccff,204;204;255
periwinkle_gray_c3c3e5,195;195;229
persian_green_01b6ad,1;182;173
persian_red_6e6568,210;54;65
persian_red_cc3333,204;51;51
persian_red_cc3a33,204;58;51
pigeon_post_b0c4de,176;196;222
pine_glade_cccc99,204;204;153
pine_glade_cccc9a,204;204;154
pirate_gold_d08504,208;133;4
punga_593e1a,89;62;26
reef_ccffbb,204;255;187
rhino_333366,51;51;102
river_bed_4e6766,78;103;102
rodeo_dust_cdb99c,205;185;156
royal_purple_663399,102;51;153
sage_9c9f84,156;159;132
sage_corner_b8c480,184;196;128
sapphire_333399,51;51;153
scarlet_ff2400,255;36;0
school_bus_yellow_ffd800,255;216;0
school_bus_yellow_ffde00,255;222;0
scorpion_6e6568,110;101;104
ship_cove_6b78b4,107;120;180
silver_cccccc,204;204;204
silver_c0c0c0,192;192;192
sinbad_99cccc,153;204;204
smalt_003399,0;51;153
snow_flurry_e8fccf,232;252;207
snowy_mint_ccffcc,204;255;204
spectra_2f4f4f,47;79;79
stiletto_9a3334,154;51;52
storm_gray_777B88,119;123;136
straw_d6bf86,214;191;134
sushi_8ca93e,140;169;62
sweet_corn_f7dd72,247;221;114
tan_ead3a8,234;211;168
tangerine_ffcc00,255;204;0
tawny_cc6600,204;102;0
temptress_330000,51;0;0
tenne_bf6900,191;105;0
texas_f6fa9c,246;250;156
titan_white_e0e6ff,224;230;255
tomato_f06543,240;101;67
turbo_eedb00,238;219;0
tyrian_purple_660033,102;0;51
waikawa_gray_587498,88;116;152
viking_79bedb,121;190;219
violet_660099,102;0;153
wheat_f7dcb4,247;220;180
yellow_ffff00,255;255;0
yellow_green_ffff00,255;255;0
yuma_d0ca9c,208;202;156
zombie_e8d0a9,232;208;169
